ClientCode,Symbol,EXPO_Margin,SPAN_Margin,Total_Margin,FUT_MTM,OPT_MTM,FNO_MTM,PRM_MRG,
A2221,BHARATFORG,29646,144740,168536,0,0,0,-5850,
A2221,CUMMINSIND,115857,359088,474945,0,0,0,0,
A2221,HAL,86043,379170,465213,0,0,0,0,
A2221,HDFCBANK,186838,578325,765163,0,0,0,0,
A2221,INDUSINDBK,93484,365512,484871,0,0,0,25875,
A2221,ITC,38113,137760,175873,0,0,0,0,
A2221,MARUTI,157841,612105,769946,0,0,0,0,
A2221,RELIANCE,91616,293530,422371,0,0,0,37225,
A2221,SUNPHARMA,202634,624176,826810,0,0,0,0,
A2221,TATAMOTORS,43211,168349,211561,0,0,0,0,
A2221,TATAPOWER,105887,501525,607412,0,0,0,0,
A2221,TITAN,68129,305887,374016,0,0,0,0,
A2221,TVSMOTOR,25417,156233,181650,0,0,0,0,
A2221,VEDL,34345,158472,192817,0,0,0,0,
